Date,Open,High,Low,Close,Adj Close,Volume
2002-01-10,303.75,304.0,301.0,302.0,302.0,70
2002-01-11,304.0,305.0,303.5,303.5,303.5,194
2002-01-14,308.75,311.0,308.25,308.25,308.25,70
2002-01-15,306.5,307.0,305.5,305.75,305.75,200
2002-01-16,301.0,302.0,299.5,299.5,299.5,179
2002-01-17,304.0,305.5,303.5,303.5,303.5,77
2002-01-18,301.0,302.0,300.25,301.0,301.0,185
2002-01-22,299.5,299.5,296.75,296.75,296.75,265
2002-01-23,295.0,296.5,294.5,295.25,295.25,185
2002-01-24,296.5,297.75,295.25,296.75,296.75,50
2002-01-25,299.0,299.5,298.25,299.5,299.5,106
2002-01-28,298.0,298.5,296.75,298.5,298.5,811
2002-01-29,291.25,293.75,290.0,292.0,292.0,115
2002-01-30,290.0,290.5,289.0,289.0,289.0,183
2002-01-31,284.0,288.25,284.0,286.5,286.5,39
2002-02-01,286.75,287.5,286.5,286.5,286.5,68
2002-02-04,288.0,289.5,288.0,288.5,288.5,184
2002-02-05,280.75,281.5,280.5,281.0,281.0,60
2002-02-06,284.0,284.5,284.0,284.5,284.5,163
2002-02-07,280.25,283.0,280.25,283.0,283.0,258
2002-02-08,282.0,287.0,281.75,283.5,283.5,64
2002-02-11,282.0,282.5,282.0,282.0,282.0,14
2002-02-12,281.0,281.75,281.0,281.5,281.5,28
2002-02-13,281.25,281.25,280.25,280.25,280.25,14
2002-02-14,282.5,283.5,282.25,282.5,282.5,9
2002-02-15,280.75,280.75,280.25,280.25,280.25,72
2002-02-19,276.5,277.0,276.25,276.5,276.5,9
2002-02-20,277.75,278.0,277.5,278.0,278.0,67
2002-02-21,280.0,281.0,280.0,281.0,281.0,28
2002-02-22,278.5,278.5,278.0,278.25,278.25,108
2002-02-25,280.75,281.0,280.25,280.5,280.5,47
2002-02-26,278.25,279.0,277.5,279.0,279.0,87
2002-02-27,276.0,276.0,275.75,275.75,275.75,56
2002-02-28,272.0,273.0,271.25,271.5,271.5,30
2002-03-01,267.25,267.5,267.25,267.5,267.5,30
2002-03-04,270.0,270.0,270.0,270.0,270.0,2
2002-03-05,270.5,271.0,270.5,270.5,270.5,2
2002-03-06,270.5,270.5,270.5,274.25,274.25,2
2002-03-07,274.5,274.5,274.5,274.5,274.5,3
2002-03-08,272.0,272.0,272.0,272.0,272.0,3
2002-03-11,272.0,272.0,272.0,271.0,271.0,2
2002-03-12,267.0,267.0,267.0,267.0,267.0,2
2002-03-13,270.0,270.0,270.0,270.0,270.0,2
2002-03-14,272.0,272.0,272.0,272.0,272.0,34
2002-03-15,280.0,280.5,279.0,279.0,279.0,194
2002-03-18,283.75,284.25,282.5,282.75,282.75,128
2002-03-19,278.0,278.5,278.0,278.5,278.5,105
2002-03-20,282.0,283.0,277.25,277.25,277.25,38
2002-03-21,277.25,278.0,276.5,276.5,276.5,193
2002-03-22,283.25,283.75,281.5,281.5,281.5,84
2002-03-25,281.0,281.5,281.0,281.5,281.5,188
2002-03-26,284.0,285.75,284.0,285.5,285.5,60
2002-03-27,287.25,288.0,286.5,288.0,288.0,218
2002-03-28,294.0,295.0,293.25,294.5,294.5,242
2002-04-01,285.5,286.5,284.75,285.25,285.25,249
2002-04-02,286.5,288.0,286.0,286.0,286.0,89
2002-04-03,283.25,284.5,283.25,284.5,284.5,40
2002-04-04,284.0,284.5,283.5,284.5,284.5,102
2002-04-05,280.25,280.5,278.5,278.75,278.75,113
2002-04-08,277.5,277.5,275.5,276.0,276.0,24
2002-04-09,273.5,274.0,273.0,273.75,273.75,80
2002-04-10,270.25,270.25,270.0,270.25,270.25,110
2002-04-11,272.5,273.5,272.5,271.25,271.25,36
2002-04-12,272.0,272.0,270.25,272.5,272.5,46
2002-04-15,274.0,274.5,273.5,271.75,271.75,26
2002-04-16,272.75,272.75,272.0,275.0,275.0,46
2002-04-17,275.0,275.5,275.0,275.75,275.75,12
2002-04-18,274.5,276.25,274.5,268.25,268.25,40
2002-04-19,269.0,269.5,268.25,267.0,267.0,23
2002-04-22,268.0,268.0,267.25,264.75,264.75,15
